sqft	bedrooms	age	price
1482	4	18	155531
1219	4	14	175259
1584	3	5	161697
1119	4	15	126375
1447	3	7	142701
777	3	15	137861
1212	3	17	108505
1869	2	19	118850
1609	4	15	153667
1733	3	10	202712
1183	3	6	143933
1375	3	16	137277
1670	3	16	124561
1508	2	11	160916
1477	3	12	195377
1757	1	9	220080
1089	3	6	168561
1303	3	13	164199
911	3	22	143695
1076	3	0	148703
1618	3	16	178875
1120	3	3	150553
1533	3	20	155131
1764	3	4	159239
1305	3	19	142275
1479	4	23	157750
1535	2	22	99417
1044	3	24	176465
1195	4	6	230553
1099	3	9	143438
1215	2	16	171215
1529	3	28	185547
1201	2	29	198406
1341	2	6	152070
1089	4	0	105900
1656	3	6	168016
1213	2	25	163858
1730	4	23	149630
1365	4	10	155994
998	3	8	164310
1307	2	11	170852
1084	4	2	169594
1497	3	3	153469
1284	3	3	171528
1390	4	27	151449
1257	3	24	179260
1211	2	12	141176
1106	3	22	162191
1559	3	18	111287
1306	3	9	148902
1271	3	4	177024
1300	2	6	128987
1180	3	23	150396
1272	3	15	87847
1401	3	0	118957
1091	3	11	126805
1127	3	1	163052
1694	3	6	170002
1259	2	10	158318
1212	3	28	148522
1014	4	29	148626
1562	3	12	181481
1086	3	1	166384
1346	4	6	149981
922	2	14	198798
1554	1	24	218499
1644	3	10	122627
1471	1	1	175675
966	4	6	252696
1559	2	3	168406
1143	3	10	163463
1057	3	28	158327
1254	2	1	174705
1249	3	28	182646
1223	1	15	122656
1668	3	6	159205
1852	1	12	91915
1007	4	4	153720
1177	4	16	132919
1385	2	20	170175
1252	2	11	110308
1449	3	27	144630
1578	2	18	188996
1537	4	6	139710
1502	3	5	102851
1764	3	7	167725
952	4	12	142404
1720	3	4	154423
1246	4	1	138103
1546	4	8	219231
1092	2	29	113257
1122	1	10	245004
1515	4	23	148280
867	4	5	165503
1597	2	28	142756
1664	4	25	141500
1394	3	6	136455
1385	2	24	178037
1141	4	6	117676
1518	2	18	170923
1436	4	5	94465
1119	2	10	168205
1252	3	28	185474
1310	2	10	121764
1251	3	6	180362
1009	3	1	161541
1524	2	18	207952
1289	3	3	134343
1353	3	25	244479
1205	2	5	88276
1468	4	16	150114
1399	3	24	109042
1653	3	4	215531
1470	3	28	152148
1299	3	27	154849
1165	2	29	173297
1566	3	6	159855
1279	3	8	142187
1307	3	24	122300
1307	4	0	165055
1249	3	0	171365
1311	2	18	180861
1831	2	5	217381
1088	2	17	94786
1146	2	9	157968
1696	3	27	195752
1256	2	10	156264
1237	2	0	89854
1608	2	0	121268
994	1	12	169857
1555	2	4	168765
1361	2	19	180175
1466	3	0	136569
1461	3	19	167796
1193	2	2	131624
1612	3	17	167798
1212	3	8	161596
1452	2	13	135374
1659	1	26	206745
1694	3	16	108830
1283	3	22	155751
1465	2	13	134712
1260	2	28	215026
1975	4	3	177951
1545	2	4	140520
1371	2	25	151608
1428	4	20	215837
1451	4	16	131611
1459	3	21	107066
1290	3	28	168730
1251	2	24	169409
1312	2	1	179981
1065	3	22	180178
1529	2	21	213121
1149	3	4	108455
1085	4	3	123915
1346	4	3	179866
1317	2	5	126831
1412	3	19	116302
1207	3	20	215975
1251	4	12	111401
1523	2	21	149461
1507	1	4	158218
1497	2	22	199274
1358	3	24	103935
1392	3	25	172464
1407	3	22	133288
1185	3	6	178828
1718	2	19	132795
1682	3	0	207169
1548	2	13	132970
1243	4	23	86140
1484	4	3	136334
1594	4	16	152160
1044	4	20	192470
1773	2	13	122247
915	1	15	122840
1526	3	13	188817
1713	4	15	118743
1321	2	23	154630
1312	1	19	155240
1516	4	28	166527
1812	2	27	137504
1279	3	7	132190
1154	3	23	170046
1244	2	2	133120
961	2	24	119200
1574	3	18	196833
1221	3	0	174642
1297	4	1	213025
1577	3	14	183519
1255	2	21	121955
1539	3	27	162891
1090	3	9	129531
1589	2	17	110451
1435	3	21	146584
1327	2	13	189445
1382	2	16	168247
1028	2	26	118273
1377	3	12	145529
1314	3	0	155714
1035	3	4	109326
1182	3	25	181395
1317	4	12	153137
1198	2	26	118282
746	2	24	116584
1619	1	13	193019
1314	2	23	148575
781	3	2	195710
1883	3	14	207164
1660	3	18	190673
1262	2	16	143997
1139	3	29	85064
1450	3	2	169389
1400	2	15	222747
1485	3	13	158938
1140	4	11	100305
1624	3	27	139753
1231	3	11	154488
1520	3	28	127060
1150	2	10	83081
2012	3	16	157064
1523	2	7	136453
2071	1	16	213180
1556	3	20	163031
1209	4	24	174087
1557	3	22	156427
1575	3	19	162811
1443	4	10	110431
1507	4	24	128795
1540	3	24	192658
1101	2	1	166283
1083	4	9	148044
1151	2	9	174585
1381	3	10	175175
1294	1	27	219726
1106	3	5	164891
1543	2	3	128124
1420	3	23	156529
1392	3	11	178226
1285	2	10	189869
1255	3	22	111549
1139	4	22	167611
1583	4	26	133082
1174	2	25	143001
1402	3	24	185375
1765	3	12	182387
1266	3	4	139655
1590	1	5	155264
1492	3	0	143917
1427	4	5	246751
1457	3	17	168350
1326	3	21	134815
1358	3	8	199665
1212	2	23	200723
1360	3	24	213750
1203	3	28	222639
1601	2	14	181231
925	4	25	149504
1470	2	7	153921
1434	4	18	151237
1411	3	23	147887
1606	2	15	197198
1278	3	5	160021
1413	3	28	189142
920	2	5	180295
1246	3	21	127040
1563	3	2	108484
1015	3	9	122900
1389	1	0	147198
1180	3	27	164029
1322	2	13	140550
1195	3	3	181091
1038	2	25	144169
1446	4	11	167708
1337	3	5	163527
1503	3	10	212032
1548	3	11	130742
1656	2	9	226252
1383	2	17	142169
1667	4	6	119798
1106	4	6	153492
1577	1	10	257204
1464	3	3	186856
1408	3	19	178088
1461	3	0	183855
1109	2	12	136912
1050	2	17	169781
1777	2	8	160075
1307	4	25	214272
1304	3	23	156739
1074	3	23	148651
979	4	8	125056
1327	3	22	164200
1264	4	28	168788
1350	3	8	123952
1371	2	9	173594
1972	4	27	166995
1265	3	1	190403
1744	2	5	196371
1760	3	14	162828
1538	2	2	128909
1291	3	10	135081
1009	4	5	212863
1469	4	2	164964
1604	4	23	212384
1786	2	10	174958
1112	3	14	182612
1289	1	12	188161
1114	4	19	123305
1191	3	27	169208
1516	3	9	122890
1180	3	5	151452
1143	3	14	179205
1549	3	24	129239
1462	4	17	176780
1437	4	17	115048
1186	2	6	194299
1673	3	14	140066
1353	4	17	129186
1945	1	17	116939
1390	3	19	142619
766	2	8	102771
755	3	23	143548
1505	1	1	192984
1675	3	7	154338
1154	2	19	124674
1875	3	1	166787
1765	4	10	164136
1402	4	25	218698
1484	4	6	183721
1573	3	5	169167
1822	1	29	187151
1520	2	9	155968
1396	4	4	157737
1518	3	10	209768
1484	2	0	110932
1581	3	1	189038
957	2	23	156676
1428	2	0	151255
1465	4	18	143413
1331	4	1	164610
1546	3	20	158694
1830	4	19	147558
1384	3	28	138920
1522	3	22	102840
1751	1	20	138285
1390	2	23	144631
1127	3	3	164536
1503	4	11	218892
799	3	21	141521
775	2	19	129288
1433	2	17	138565
763	4	0	164600
1021	2	29	177659
1254	3	29	181850
1169	1	0	184831
1313	2	23	189076
1628	3	13	151633
1409	3	3	221594
1140	3	4	149356
1688	2	10	163280
992	4	23	198874
1405	2	27	176992
964	3	22	92774
1413	4	12	160169
1270	2	15	185858
1620	4	23	119695
1530	2	12	182520
1203	3	23	171704
1155	3	21	195517
1271	4	25	139242
1818	2	1	189876
1754	3	15	164788
1107	4	5	212981
1550	3	13	243581
917	3	0	206149
1238	2	16	174415
1118	3	10	229630
1617	1	18	178104
1027	1	2	132761
1457	3	10	158821
1350	3	28	182850
1306	4	4	184778
1767	4	16	126242
1789	3	25	127194
1313	4	21	149760
1263	3	6	176036
973	2	9	179876
1348	3	27	164239
1838	2	28	134967
1317	3	10	212108
1532	4	2	127838
1000	3	19	199070
1241	4	9	182164
1465	2	26	198409
1376	3	9	146667
1556	2	13	155720
1199	3	11	161651
912	3	14	145708
1630	3	9	166757
1115	2	29	207372
1476	1	9	121094
1462	2	25	140283
934	3	18	137027
1612	4	0	157167
1208	2	23	155934
1363	3	28	183169
1260	4	25	161011
1755	3	9	169086
1685	3	1	171953
896	4	16	167362
1914	2	29	181099
1180	2	23	156330
1875	1	6	209391
1285	4	6	236248
1264	4	19	181186
1288	3	26	166839
1249	2	8	178737
1981	3	21	126969
1330	2	1	165403
1274	1	13	138060
1369	3	16	175299
1108	4	0	138209
1749	4	8	149656
982	3	19	103840
1196	2	20	124802
1584	2	18	170646
1360	3	3	133934
1487	3	27	191913
1733	4	7	131383
1600	3	12	173597
1384	3	3	137143
1872	1	8	171564
1192	2	8	113956
1324	3	21	146404
1342	2	17	134613
1324	3	11	186496
1082	4	9	173867
954	3	10	123022
1454	2	6	153904
1191	2	8	136830
1826	3	5	188507
1331	3	18	198145
1287	3	15	116750
1623	3	29	184801
1450	3	14	135301
1306	3	6	152412
1189	3	15	160967
2264	4	4	214498
1440	3	15	129884
1621	2	0	185042
1094	3	18	124854
1205	3	4	122782
1878	4	6	160853
1699	3	18	160651
1464	4	21	75030
1254	4	4	194787
1291	3	28	95826
1180	3	16	155621
1060	3	25	199828
1580	4	21	226275
1484	3	29	149108
1534	2	7	117011
1265	3	28	198716
1413	2	28	185954
1241	3	0	145330
1168	2	1	141527
1766	3	29	138478
1380	4	14	149662
1476	2	19	169482
1558	2	27	143019
1383	2	17	146812
1410	3	10	179238
1078	3	24	115527
1125	2	9	148721
1113	2	23	109721
1501	3	23	163252
1367	2	3	101817
1125	3	4	186700
1495	2	3	120560
1485	3	12	106822
1176	2	24	149091
1343	3	12	211333
1486	2	17	181335
1135	3	28	102330
1491	4	26	119706
1425	4	23	148131
1100	3	1	227150
1404	3	15	131831
1441	4	0	132073
1193	3	25	205822
1213	2	18	165847
1097	4	8	191590
1237	3	27	138187
1346	2	2	156950
1213	2	24	199468
978	2	6	155654
1177	3	28	193691
1245	2	9	171618
1554	2	0	128811
1498	2	9	159510
1559	3	20	189441
1165	3	8	180082
1385	3	27	158792
744	1	14	103248
1457	2	14	106120
1502	4	2	112500
1262	3	24	144686
1423	3	4	148686
971	1	8	115737
1149	3	25	190675
1541	3	21	122086
1477	2	8	118883
1247	2	22	162647
1552	3	6	189217
1384	4	23	221645
1223	4	22	177476
1304	3	11	207394
1236	3	24	123638
1054	2	26	224792
1664	3	8	104155
1207	3	5	144884
1141	2	22	176819
967	4	1	111843
691	2	8	132188
1525	3	27	127422
1548	3	28	150693
1648	3	16	202647
1312	3	0	160504
1269	2	18	146108
1223	4	27	73470
1245	3	5	174002
1629	3	4	183700
1343	4	1	108999
1444	3	8	157990
1239	2	29	165790
1680	3	28	188938
873	2	25	138256
1044	1	13	133739
1444	3	3	146305
1787	4	3	198533
1293	2	20	191315
1139	3	14	159359
1600	2	7	190593
1430	3	25	88939
1672	3	3	183749
1027	3	15	126437
1652	2	20	213010
962	3	27	128072
1277	4	3	134417
1453	3	29	176872
1396	3	15	179768
1615	4	21	146610
893	1	11	171142
1385	3	15	174861
1649	4	18	171793
1364	2	7	147863
1064	3	5	175156
1601	2	9	202191
1187	3	4	123235
1143	3	28	134798
1112	3	17	160817
1300	3	9	128313
1395	2	9	105897
1032	3	6	192793
1084	2	17	93136
1176	4	0	147928
1111	1	6	182768
1359	4	20	168000
1440	3	0	148382
1405	3	14	127076
1406	3	3	170316
1767	3	27	130348
1455	3	28	167977
1545	2	19	164227
1246	3	9	164530
1586	2	22	140790
1234	1	8	221050
1452	3	1	170746
1007	2	27	151638
1391	2	13	167928
1106	2	15	136766
1584	2	0	148410
1568	2	1	231757
1233	4	6	136978
1862	1	28	157666
1278	3	9	146316
946	2	21	128810
1155	4	19	172632
1088	2	0	161094
1444	4	12	187330
1041	3	0	184317
1215	1	4	187021
1428	4	15	132453
1384	3	14	179228
1346	2	16	179958
1381	3	27	129368
1257	4	22	150441
949	3	15	116316
1250	3	12	180088
1467	3	10	179950
1315	3	16	202910
1447	4	16	153136
1203	3	1	173544
1598	2	12	189632
710	4	13	137383
1385	2	10	132821
1687	2	27	138313
1724	3	9	149521
1292	3	2	133883
1018	1	28	139605
1691	3	26	186427
1337	3	16	157109
1310	3	14	169200
1126	4	8	143478
1037	3	9	141509
1490	1	7	168566
1517	2	20	163781
1400	4	12	183339
1158	2	26	199047
1083	3	17	139257
991	3	4	185835
1209	3	5	127605
1098	1	29	222213
922	3	16	136410
1512	3	10	180718
1020	4	19	127382
1595	2	15	155437
1448	3	8	206371
1423	3	1	135468
1766	3	4	226125
1028	3	0	159841
1568	2	3	189271
1275	2	3	172088
1992	3	21	173711
1254	3	25	117216
1214	3	24	145814
1456	2	2	195879
1297	2	8	149670
1160	1	21	164164
1107	2	22	113577
1714	3	11	143872
1059	4	9	193691
1405	2	1	121521
1614	3	10	181512
1626	2	9	165333
1199	3	29	152921
1298	1	21	151602
1249	4	5	145269
966	3	17	147940
1484	4	1	187892
1359	4	29	147038
1710	3	1	214227
1144	3	9	168985
1622	2	15	142712
1639	3	11	189200
1361	4	0	178716
807	2	20	110374
1221	4	7	128965
1796	3	15	156537
1424	4	17	112491
1523	4	12	222715
1327	3	14	184666
1294	3	20	159600
883	3	11	149718
1548	4	7	142010
1619	4	9	101079
1112	3	13	108013
1305	3	4	217033
1271	3	17	207207
1455	4	18	142726
1213	3	14	187239
1582	4	5	175192
1367	3	26	178728
712	2	10	117244
1460	3	20	105754
1599	3	10	195477
1061	2	19	100621
1452	2	19	155554
1807	3	20	148968
1378	2	17	146195
1635	3	24	169433
1239	3	17	139672
1345	4	9	171872
1298	3	1	164234
1253	4	25	222961
1313	3	29	118437
942	2	8	160878
1267	3	13	172940
1684	3	18	152307
1109	3	9	119887
1083	1	22	197713
1365	3	3	170108
1377	1	28	121993
1444	3	28	173160
1321	2	5	211046
1367	3	13	158910
1262	3	3	159933
1031	1	25	207040
1332	3	14	130888
1531	3	15	211826
1478	4	6	189187
913	4	16	132273
1412	3	18	139951
1126	3	28	144255
1698	3	18	104993
1431	3	16	167814
1574	2	5	133631
1355	3	28	168896
1333	3	10	121271
1723	2	15	187690
1593	3	29	182128
1379	3	24	138823
1300	3	7	170789
923	2	10	162487
1431	3	6	204468
1318	3	25	129025
1488	3	23	155431
1564	3	21	140779
1658	3	24	161344
1434	4	18	175998
1088	2	25	140445
812	4	9	149076
1143	3	8	188981
1683	2	3	200719
1805	3	22	174805
1290	2	14	155861
984	2	12	153007
1187	3	24	176443
